label,prediction,confidence,fragility,type
3,3,0.8285699486732483,0.1714300513267517,clean
8,8,0.9997437596321106,0.0002562403678894043,clean
8,8,0.9999233484268188,7.665157318115234e-05,clean
0,0,0.9364216923713684,0.06357830762863159,clean
6,6,0.9990289211273193,0.0009710788726806641,clean
6,6,0.8273459076881409,0.17265409231185913,clean
1,5,0.5261417031288147,0.4738582968711853,clean
6,2,0.6405361294746399,0.3594638705253601,clean
3,3,0.8754960298538208,0.1245039701461792,clean
1,9,0.7277218699455261,0.2722781300544739,clean
0,0,0.7129580974578857,0.28704190254211426,clean
9,9,0.9999854564666748,1.4543533325195312e-05,clean
5,5,0.4568457007408142,0.5431542992591858,clean
7,7,0.9785635471343994,0.021436452865600586,clean
9,9,0.9999796152114868,2.0384788513183594e-05,clean
8,6,0.9109123349189758,0.08908766508102417,clean
5,5,0.9561360478401184,0.04386395215988159,clean
7,7,0.9939579963684082,0.006042003631591797,clean
8,8,0.9977387189865112,0.0022612810134887695,clean
6,6,0.999992847442627,7.152557373046875e-06,clean
7,7,0.9319797158241272,0.0680202841758728,clean
0,0,0.9767605066299438,0.023239493370056152,clean
4,4,0.9948558807373047,0.0051441192626953125,clean
9,9,0.9999997615814209,2.384185791015625e-07,clean
5,4,0.9989527463912964,0.0010472536087036133,clean
2,2,0.45414653420448303,0.545853465795517,clean
4,4,0.6702894568443298,0.32971054315567017,clean
0,0,0.6778083443641663,0.32219165563583374,clean
9,9,0.9994475245475769,0.0005524754524230957,clean
6,6,0.9911006093025208,0.008899390697479248,clean
6,6,0.9986187219619751,0.0013812780380249023,clean
5,5,0.9899045825004578,0.010095417499542236,clean
4,4,0.9220860600471497,0.07791393995285034,clean
5,5,0.9578729867935181,0.042127013206481934,clean
9,9,0.9992431402206421,0.0007568597793579102,clean
2,3,0.4102317988872528,0.5897682011127472,clean
4,4,0.6915297508239746,0.3084702491760254,clean
1,9,0.6239898204803467,0.3760101795196533,clean
9,9,1.0,0.0,clean
5,5,0.9926404356956482,0.007359564304351807,clean
4,4,0.6838369369506836,0.3161630630493164,clean
6,6,0.9995786547660828,0.00042134523391723633,clean
5,5,0.6259101629257202,0.3740898370742798,clean
6,6,0.9793633222579956,0.020636677742004395,clean
0,0,0.714293360710144,0.28570663928985596,clean
9,9,0.9999908208847046,9.179115295410156e-06,clean
3,3,0.7501114010810852,0.2498885989189148,clean
9,9,0.8716446757316589,0.12835532426834106,clean
7,7,0.9707338213920593,0.029266178607940674,clean
6,2,0.5700721144676208,0.42992788553237915,clean
9,9,0.8360815048217773,0.16391849517822266,clean
8,8,0.9989581108093262,0.0010418891906738281,clean
0,2,0.4877592921257019,0.5122407078742981,clean
3,5,0.3697550594806671,0.6302449405193329,clean
8,8,0.9999783039093018,2.1696090698242188e-05,clean
8,8,0.9988652467727661,0.0011347532272338867,clean
7,7,0.8639931678771973,0.13600683212280273,clean
7,5,0.7397474646568298,0.26025253534317017,clean
4,6,0.355974406003952,0.644025593996048,clean
6,5,0.5060316324234009,0.4939683675765991,clean
7,7,0.9999885559082031,1.1444091796875e-05,clean
3,5,0.7880449295043945,0.21195507049560547,clean
6,6,0.9552478194236755,0.04475218057632446,clean
3,3,0.844572126865387,0.15542787313461304,clean
6,6,0.8742356300354004,0.1257643699645996,clean
2,2,0.6674080491065979,0.3325919508934021,clean
1,8,0.5345590710639954,0.46544092893600464,clean
2,2,0.8626589775085449,0.13734102249145508,clean
3,3,0.5492995977401733,0.45070040225982666,clean
7,7,0.9675941467285156,0.032405853271484375,clean
2,0,0.30163320899009705,0.698366791009903,clean
6,6,0.45504194498062134,0.5449580550193787,clean
8,8,0.9999903440475464,9.655952453613281e-06,clean
8,8,0.9988827109336853,0.0011172890663146973,clean
0,0,0.579195499420166,0.420804500579834,clean
2,2,0.9994094371795654,0.0005905628204345703,clean
9,9,0.5817076563835144,0.4182923436164856,clean
3,3,0.7659227848052979,0.23407721519470215,clean
3,3,0.42830219864845276,0.5716978013515472,clean
8,8,0.9993090629577637,0.0006909370422363281,clean
8,8,0.9917102456092834,0.008289754390716553,clean
1,1,0.9650647044181824,0.03493529558181763,clean
1,1,0.999629020690918,0.00037097930908203125,clean
7,7,0.9596230387687683,0.04037696123123169,clean
2,3,0.4518130123615265,0.5481869876384735,clean
5,7,0.9810515642166138,0.01894843578338623,clean
2,7,0.7385779619216919,0.2614220380783081,clean
7,7,0.47705790400505066,0.5229420959949493,clean
8,8,0.999313473701477,0.0006865262985229492,clean
9,9,0.999994158744812,5.841255187988281e-06,clean
0,0,0.9868234395980835,0.013176560401916504,clean
3,6,0.35500696301460266,0.6449930369853973,clean
8,8,0.9995139837265015,0.00048601627349853516,clean
6,6,0.9839551448822021,0.01604485511779785,clean
4,4,0.8682329654693604,0.13176703453063965,clean
6,6,0.7620466947555542,0.2379533052444458,clean
6,2,0.6903061866760254,0.3096938133239746,clean
0,0,0.6824972033500671,0.31750279664993286,clean
0,0,0.9695471525192261,0.030452847480773926,clean
7,7,0.9380183219909668,0.0619816780090332,clean
4,4,0.6503186821937561,0.3496813178062439,clean
5,5,0.3179725408554077,0.6820274591445923,clean
6,6,0.9986497759819031,0.0013502240180969238,clean
3,3,0.9642329812049866,0.03576701879501343,clean
1,1,0.9910354614257812,0.00896453857421875,clean
1,1,0.9999332427978516,6.67572021484375e-05,clean
3,0,0.2614928185939789,0.7385071814060211,clean
6,6,0.9998487234115601,0.0001512765884399414,clean
8,8,0.9839063882827759,0.01609361171722412,clean
7,5,0.5132024884223938,0.4867975115776062,clean
4,4,0.8572441339492798,0.14275586605072021,clean
0,0,0.8898455500602722,0.11015444993972778,clean
6,2,0.8407005071640015,0.15929949283599854,clean
2,2,0.9827221632003784,0.017277836799621582,clean
1,1,0.9979609251022339,0.0020390748977661133,clean
3,3,0.50533527135849,0.49466472864151,clean
0,0,0.9737822413444519,0.026217758655548096,clean
4,4,0.8136774301528931,0.18632256984710693,clean
2,6,0.7144767642021179,0.2855232357978821,clean
7,7,0.9465371370315552,0.053462862968444824,clean
8,8,0.9930126070976257,0.006987392902374268,clean
3,3,0.7807121276855469,0.21928787231445312,clean
1,1,0.9952272176742554,0.004772782325744629,clean
2,2,0.9966064691543579,0.00339353084564209,clean
8,8,0.9958613514900208,0.004138648509979248,clean
0,0,0.5980009436607361,0.4019990563392639,clean
8,8,0.43525171279907227,0.5647482872009277,clean
3,3,0.44848760962486267,0.5515123903751373,clean
5,3,0.37321168184280396,0.626788318157196,clean
2,2,0.6005000472068787,0.39949995279312134,clean
4,4,0.9992105960845947,0.0007894039154052734,clean
1,1,0.9962144494056702,0.003785550594329834,clean
8,8,0.9998025298118591,0.00019747018814086914,clean
9,9,0.9999966621398926,3.337860107421875e-06,clean
1,0,0.5059924721717834,0.49400752782821655,clean
2,2,0.8332762718200684,0.16672372817993164,clean
9,9,0.97120201587677,0.02879798412322998,clean
7,7,0.758342444896698,0.241657555103302,clean
2,2,0.512620747089386,0.487379252910614,clean
9,8,0.5783464908599854,0.42165350914001465,clean
6,6,0.7253503799438477,0.27464962005615234,clean
5,5,0.9857185482978821,0.01428145170211792,clean
6,6,0.9946070313453674,0.005392968654632568,clean
3,5,0.5013940334320068,0.49860596656799316,clean
8,8,0.9375444054603577,0.062455594539642334,clean
7,7,0.3628452718257904,0.6371547281742096,clean
6,6,0.9990255832672119,0.0009744167327880859,clean
2,5,0.7212089896202087,0.27879101037979126,clean
5,5,0.9977980852127075,0.0022019147872924805,clean
2,2,0.6052181124687195,0.3947818875312805,clean
8,8,0.9751523733139038,0.02484762668609619,clean
9,9,0.950110673904419,0.049889326095581055,clean
6,6,0.9825621843338013,0.01743781566619873,clean
0,0,0.9796012043952942,0.02039879560470581,clean
0,0,0.6776147484779358,0.3223852515220642,clean
5,5,0.9489633440971375,0.05103665590286255,clean
2,2,0.983223557472229,0.016776442527770996,clean
9,9,0.9997767806053162,0.0002232193946838379,clean
5,5,0.6714619994163513,0.3285380005836487,clean
4,4,0.999765932559967,0.00023406744003295898,clean
2,0,0.5206050276756287,0.47939497232437134,clean
1,1,0.9963418841362,0.003658115863800049,clean
6,5,0.6726982593536377,0.3273017406463623,clean
6,6,0.9732018709182739,0.026798129081726074,clean
8,8,0.6557278633117676,0.3442721366882324,clean
4,4,0.7116376161575317,0.28836238384246826,clean
8,8,0.8742406368255615,0.12575936317443848,clean
4,6,0.547353208065033,0.45264679193496704,clean
5,5,0.7522765398025513,0.24772346019744873,clean
0,0,0.8501893877983093,0.14981061220169067,clean
9,9,0.9999715089797974,2.849102020263672e-05,clean
9,0,0.6866952180862427,0.3133047819137573,clean
9,9,0.9637792110443115,0.03622078895568848,clean
8,8,0.24367207288742065,0.7563279271125793,clean
9,9,0.9983391761779785,0.0016608238220214844,clean
9,9,0.999984622001648,1.537799835205078e-05,clean
3,3,0.6435738205909729,0.3564261794090271,clean
7,7,0.9919497966766357,0.008050203323364258,clean
5,3,0.5369791388511658,0.46302086114883423,clean
0,0,0.9855802059173584,0.014419794082641602,clean
0,0,0.7910484671592712,0.20895153284072876,clean
5,5,0.999859094619751,0.00014090538024902344,clean
2,2,0.9995434880256653,0.0004565119743347168,clean
2,2,0.4824814200401306,0.5175185799598694,clean
3,3,0.3571867048740387,0.6428132951259613,clean
8,8,0.999998927116394,1.0728836059570312e-06,clean
6,6,0.7964013814926147,0.20359861850738525,clean
3,3,0.890609085559845,0.10939091444015503,clean
4,3,0.7180216312408447,0.2819783687591553,clean
0,0,0.7474714517593384,0.2525285482406616,clean
5,6,0.5499435663223267,0.45005643367767334,clean
8,8,0.9339944124221802,0.06600558757781982,clean
0,0,0.45641469955444336,0.5435853004455566,clean
1,1,0.9873627424240112,0.01263725757598877,clean
7,7,0.7742072343826294,0.2257927656173706,clean
2,5,0.303622841835022,0.696377158164978,clean
8,8,0.9999969005584717,3.0994415283203125e-06,clean
8,8,0.9952888488769531,0.004711151123046875,clean
7,7,0.9992006421089172,0.0007993578910827637,clean
8,8,0.999691367149353,0.00030863285064697266,clean
5,5,0.8322275280952454,0.16777247190475464,clean
1,1,0.6380251049995422,0.36197489500045776,clean
8,8,0.9998406171798706,0.00015938282012939453,clean
7,7,0.9917194843292236,0.008280515670776367,clean
1,1,0.9968010187149048,0.003198981285095215,clean
3,3,0.7610995173454285,0.23890048265457153,clean
0,0,0.7845911979675293,0.2154088020324707,clean
5,5,0.9922288060188293,0.007771193981170654,clean
7,7,0.9999998807907104,1.1920928955078125e-07,clean
9,9,0.9999686479568481,3.135204315185547e-05,clean
7,5,0.3827936053276062,0.6172063946723938,clean
4,4,0.3332960605621338,0.6667039394378662,clean
5,5,0.990584135055542,0.009415864944458008,clean
9,7,0.6880040168762207,0.3119959831237793,clean
8,8,0.987743616104126,0.012256383895874023,clean
0,0,0.8152630925178528,0.18473690748214722,clean
7,7,0.9999895095825195,1.049041748046875e-05,clean
9,9,0.9991996884346008,0.0008003115653991699,clean
8,8,0.8283112645149231,0.1716887354850769,clean
2,2,0.8571127653121948,0.14288723468780518,clean
7,7,0.8221070766448975,0.17789292335510254,clean
6,3,0.54021817445755,0.45978182554244995,clean
9,9,0.999936580657959,6.341934204101562e-05,clean
4,5,0.4097979664802551,0.5902020335197449,clean
3,4,0.9001296758651733,0.09987032413482666,clean
9,9,0.980073869228363,0.019926130771636963,clean
6,7,0.29399511218070984,0.7060048878192902,clean
4,4,0.8829099535942078,0.11709004640579224,clean
